Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
Aquarius,Aquarius,6015,Procedimientos ElectromagnÈticos de Tanteo y Color,,1,EM,Astrology
Arabian Knights,Arabian Knights,80,D. Gottlieb & Company,"November, 1953",1,EM,Foreign Peoples
Arabian Night,Arabian Night,4908,"Sega Enterprises, Ltd.",9-Mar-76,2,EM,
Arabic Power,Arabic Power,5636,Unknown Manufacturer,,1,EM,World Places
Arc En Ciel,Arc En Ciel,5259,"Scott, Adickes & Cie",1933,1,ME,
Arc En Ciel Bebe,Arc En Ciel Bebe,5258,"Scott, Adickes & Cie",1933,1,ME,
Arcade,Arcade,81,Williams Manufacturing Company,6-Nov-51,1,EM,Carnival
Archer,Archer,4314,A.B.T. Manufacturing Company,"February, 1936",1,EM,
Archer,Archer,4526,Genco Manufacturing Company,1937,1,EM,Sports - Archery
Archery,Archery,3857,Glickman Industries,"March, 1942",1,EM,Sports - Archery
Arctic Gun,Arctic Gun,6342,Williams Electronic Manufacturing Company,"January, 1967",1,EM,Snow - World Places
Arena,Arena,82,Premier Technology,"June, 1987",4,SS,Fantasy
Argentine,Argentine,83,Genco Manufacturing Company,"July, 1941",1,EM,Dancing - Music - World Places
Argosy,Argosy,84,"Williams Electronics, Incorporated","September, 1977",4,EM,Boats - Nautical - Ships - Water
Argosy,Argosy,6274,"Williams Electronics, Incorporated",,4,SS,Boats - Nautical - Ships - Water
Aristocrat,Aristocrat,5576,Prosperity Coin Machine Corporation,1933,1,ME,
Aristocrat,Aristocrat,5677,Birmingham Vending Company,"June, 1933",1,ME,
